이름,타율,BABIP,볼넷%,삼진%,볼/삼,ISO,타수/홈런,OPS,RC,RC/27,wRC,SPD,wSB,wOBA,wRAA
강경학,0.278,0.346,13.2,20.4,0.64,0.114,49.0,0.774,38.48,5.5,41.78,4.15,-0.25,0.348,1.18
류지혁,0.268,0.323,10.4,15.4,0.67,0.043,228.0,0.683,31.12,4.57,32.36,6.07,0.37,0.319,-6.98
김태균,0.315,0.372,4.8,20.7,0.23,0.161,25.4,0.834,41.1,6.1,40.34,1.4,0.16,0.353,2.26
김강민,0.298,0.341,8.2,21.4,0.39,0.238,16.79,0.906,47.47,7.24,46.91,5.27,-1.76,0.38,9.41
최항,0.293,0.367,9.7,22.2,0.44,0.157,31.71,0.834,40.91,6.82,41.11,5.01,-0.19,0.364,5.0
이병규,0.273,0.333,19.5,22.6,0.86,0.217,19.8,0.922,46.51,8.32,51.16,2.27,0.82,0.403,15.05
정의윤,0.272,0.27,8.0,12.1,0.66,0.193,19.73,0.8,31.88,5.12,31.95,1.85,0.09,0.337,-1.63
송성문,0.313,0.378,10.1,20.6,0.49,0.189,30.14,0.883,40.54,7.11,41.08,3.68,-1.41,0.377,7.64
양성우,0.254,0.29,9.3,13.6,0.69,0.071,104.5,0.66,22.39,3.64,21.96,2.79,0.16,0.296,-11.2
김재현,0.228,0.299,5.1,24.8,0.21,0.079,67.33,0.6,20.2,3.23,15.14,3.27,0.52,0.267,-17.74
정은원,0.249,0.311,9.7,22.0,0.44,0.114,50.25,0.687,26.42,4.6,23.08,7.66,0.45,0.305,-8.81
한동희,0.232,0.3,5.3,25.7,0.21,0.128,52.75,0.639,19.55,3.09,16.22,2.64,-0.12,0.275,-15.53
지성준,0.275,0.342,5.4,24.6,0.22,0.136,29.57,0.731,26.36,4.48,24.57,2.07,0.62,0.313,-6.9
장영석,0.224,0.289,10.4,27.6,0.38,0.184,28.0,0.72,26.38,4.63,24.02,3.36,0.53,0.312,-7.03
정범모,0.179,0.236,6.8,28.3,0.24,0.11,47.5,0.539,14.84,2.36,8.05,3.21,0.46,0.239,-22.71
정진기,0.244,0.301,2.8,21.2,0.13,0.094,67.0,0.611,18.94,3.22,12.79,7.49,-0.27,0.263,-16.99
김성훈,0.243,0.274,7.6,10.8,0.7,0.081,500,0.645,20.84,3.68,18.37,7.67,-1.72,0.29,-11.41
강한울,0.259,0.314,5.7,16.3,0.35,0.047,500,0.612,18.18,3.25,14.96,5.47,-1.4,0.274,-14.4
가르시아,0.339,0.346,4.4,12.1,0.36,0.18,22.88,0.902,38.81,8.06,35.33,4.51,1.01,0.375,6.39
정성훈,0.295,0.382,7.8,23.9,0.33,0.126,45.75,0.787,28.06,5.57,28.21,2.37,0.09,0.341,-0.59
이상호,0.251,0.273,3.9,7.4,0.53,0.011,500,0.551,13.21,2.24,9.82,5.35,-1.18,0.251,-18.84
이지영,0.343,0.396,7.4,13.3,0.56,0.09,89.0,0.839,32.13,6.94,33.25,3.11,0.63,0.368,4.73
나종덕,0.124,0.222,5.9,41.9,0.14,0.051,88.5,0.376,7.31,1.19,-4.54,3.33,0.32,0.179,-33.06
조수행,0.279,0.333,4.6,16.7,0.27,0.093,183.0,0.683,22.14,4.21,18.19,8.82,1.23,0.295,-9.63
박기혁,0.214,0.288,6.6,25.5,0.26,0.052,173.0,0.538,12.41,2.2,8.15,1.61,0.51,0.244,-19.38
정훈,0.305,0.351,8.2,20.1,0.41,0.189,24.86,0.855,30.81,6.4,29.92,4.69,-0.35,0.358,2.67
박세혁,0.282,0.398,8.2,28.4,0.29,0.124,56.67,0.762,27.69,5.93,25.27,6.63,0.92,0.334,-1.98
김용의,0.233,0.285,8.6,17.3,0.5,0.012,500,0.543,14.82,3.01,9.08,6.71,0.78,0.252,-16.91
최준석,0.255,0.318,13.4,22.9,0.58,0.098,38.25,0.705,19.63,4.34,20.9,-0.15,0.52,0.32,-4.25
안중열,0.247,0.362,6.8,31.8,0.21,0.149,38.5,0.71,19.05,4.08,18.25,1.86,0.36,0.307,-6.47
이해창,0.216,0.257,4.6,28.2,0.16,0.173,20.25,0.655,15.26,3.07,12.81,2.72,-1.32,0.276,-11.64
백창수,0.243,0.298,7.1,21.3,0.33,0.171,50.67,0.728,19.4,4.33,18.24,3.85,0.4,0.311,-5.5
배영섭,0.245,0.321,9.5,20.8,0.46,0.041,500,0.617,15.14,3.55,13.28,3.4,0.53,0.282,-10.32
서건창,0.34,0.387,7.5,11.9,0.63,0.086,500,0.825,26.05,7.18,25.24,5.02,0.65,0.362,2.77
김찬형,0.232,0.281,5.0,17.5,0.29,0.057,142.0,0.597,14.25,3.4,11.0,6.65,0.2,0.272,-11.48
최진행,0.213,0.289,9.7,34.4,0.28,0.177,19.43,0.695,15.36,3.67,15.34,0.47,-0.2,0.303,-6.3
이원재,0.304,0.363,6.7,22.0,0.3,0.182,27.6,0.833,22.16,5.81,21.85,1.64,-0.74,0.349,0.78
박준태,0.228,0.284,8.7,24.7,0.35,0.179,24.6,0.752,18.27,4.79,18.86,7.82,-0.72,0.329,-2.21
