이름,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,홈런,볼넷,고4,사구,삼진,보크,폭투,WHIP,ERA+,FIP+
윤성환,400.0,11.0,4.0,280.0,129.0,92.0,1.0,28.0,1794.0,885.0,824.0,7608.0,1895.0,199.0,434.0,3.0,92.0,1310.0,1.0,43.0,1.3,112.9,107.9
우규민,491.0,3.0,2.0,130.0,68.0,73.0,67.0,37.0,1152.0,578.0,503.0,4925.0,1248.0,90.0,270.0,28.0,112.0,713.0,1.0,14.0,1.32,114.3,108.2
한기주,272.0,0.0,0.0,26.0,26.0,32.0,71.0,12.0,455.1,212.0,197.0,1959.0,450.0,39.0,168.0,10.0,37.0,314.0,2.0,17.0,1.36,115.6,109.0
백정현,307.0,0.0,0.0,55.0,25.0,24.0,2.0,24.0,501.2,302.0,288.0,2258.0,566.0,62.0,218.0,3.0,24.0,456.0,1.0,25.0,1.56,92.0,96.5
장필준,195.0,0.0,0.0,2.0,14.0,19.0,37.0,28.0,231.0,129.0,122.0,1027.0,254.0,24.0,89.0,6.0,15.0,236.0,0.0,8.0,1.49,107.5,116.2
김대우,214.0,0.0,0.0,24.0,20.0,15.0,2.0,16.0,345.2,256.0,237.0,1603.0,422.0,45.0,164.0,3.0,35.0,253.0,1.0,15.0,1.7,81.1,88.6
임현준,112.0,0.0,0.0,0.0,2.0,1.0,0.0,7.0,77.0,46.0,39.0,342.0,78.0,9.0,32.0,2.0,8.0,53.0,1.0,4.0,1.43,110.0,95.1
맥과이어,10.0,1.0,1.0,10.0,1.0,3.0,0.0,0.0,53.0,35.0,30.0,249.0,56.0,7.0,36.0,0.0,3.0,54.0,2.0,1.0,1.74,88.8,82.0
정인욱,139.0,0.0,0.0,51.0,19.0,18.0,1.0,1.0,369.2,244.0,221.0,1671.0,383.0,54.0,181.0,4.0,25.0,289.0,0.0,19.0,1.53,89.3,87.1
헤일리,8.0,0.0,0.0,8.0,2.0,3.0,0.0,0.0,41.2,19.0,17.0,164.0,31.0,1.0,10.0,0.0,1.0,48.0,0.0,0.0,0.98,123.2,184.3
