이름,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,홈런,볼넷,고4,사구,삼진,보크,폭투,WHIP,ERA+,FIP+
김세현,367.0,1.0,1.0,58.0,28.0,41.0,58.0,15.0,645.0,398.0,366.0,2932.0,762.0,52.0,292.0,10.0,34.0,474.0,0.0,34.0,1.63,91.8,104.6
김윤동,172.0,0.0,0.0,6.0,15.0,15.0,21.0,26.0,227.0,123.0,117.0,1027.0,204.0,29.0,152.0,12.0,10.0,204.0,1.0,19.0,1.57,105.3,87.3
문경찬,56.0,0.0,0.0,4.0,1.0,6.0,2.0,0.0,100.0,64.0,62.0,442.0,121.0,17.0,30.0,3.0,3.0,74.0,1.0,3.0,1.51,88.5,92.4
박경태,233.0,0.0,0.0,14.0,4.0,20.0,0.0,15.0,269.0,206.0,192.0,1240.0,308.0,21.0,146.0,2.0,13.0,208.0,0.0,23.0,1.69,71.4,101.4
박정수,33.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,60.2,56.0,50.0,290.0,74.0,6.0,28.0,0.0,10.0,43.0,2.0,4.0,1.68,67.1,92.3
박준표,108.0,0.0,0.0,4.0,7.0,4.0,0.0,10.0,132.0,97.0,92.0,592.0,149.0,13.0,49.0,4.0,17.0,80.0,0.0,6.0,1.5,79.5,96.8
박지훈,103.0,0.0,0.0,0.0,6.0,5.0,3.0,18.0,105.0,73.0,70.0,489.0,119.0,10.0,61.0,1.0,7.0,74.0,0.0,13.0,1.71,73.3,87.9
양승철,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.0,11.0,11.0,41.0,10.0,1.0,8.0,0.0,0.0,5.0,0.0,2.0,2.25,35.8,63.7
양현종,374.0,11.0,2.0,273.0,121.0,84.0,0.0,9.0,1679.1,789.0,738.0,7209.0,1663.0,147.0,708.0,4.0,41.0,1410.0,3.0,58.0,1.41,117.0,107.6
윌랜드,9.0,0.0,0.0,9.0,3.0,2.0,0.0,0.0,53.1,35.0,32.0,242.0,66.0,8.0,21.0,0.0,3.0,43.0,0.0,1.0,1.63,82.1,84.2
유승철,42.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,51.1,30.0,28.0,240.0,53.0,7.0,31.0,3.0,6.0,49.0,0.0,4.0,1.64,101.2,88.1
윤석민,398.0,12.0,6.0,144.0,77.0,75.0,86.0,18.0,1270.0,517.0,464.0,5298.0,1168.0,89.0,387.0,16.0,62.0,1072.0,4.0,29.0,1.22,135.3,130.8
이민우,48.0,0.0,0.0,4.0,3.0,5.0,1.0,5.0,64.0,52.0,47.0,312.0,86.0,7.0,33.0,1.0,8.0,51.0,0.0,4.0,1.86,75.0,91.1
이종석,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,7.0,24.0,10.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,31.3,48.7
이준영,29.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,34.0,32.0,29.0,170.0,44.0,4.0,24.0,2.0,0.0,19.0,1.0,1.0,2.0,65.0,82.8
임기영,94.0,2.0,2.0,40.0,18.0,19.0,0.0,3.0,284.2,183.0,163.0,1288.0,373.0,41.0,81.0,3.0,24.0,192.0,1.0,5.0,1.6,91.8,88.8
임기준,126.0,0.0,0.0,16.0,6.0,8.0,4.0,14.0,155.2,103.0,88.0,741.0,173.0,15.0,108.0,1.0,22.0,106.0,3.0,11.0,1.81,94.9,79.2
장지수,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,4.0,4.0,52.0,11.0,1.0,3.0,0.0,2.0,3.0,1.0,0.0,1.11,156.1,83.3
전상현,22.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,35.0,24.0,23.0,166.0,46.0,5.0,15.0,1.0,0.0,28.0,0.0,0.0,1.74,85.5,97.9
차명진,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,282.4
터너,9.0,0.0,0.0,9.0,1.0,5.0,0.0,0.0,46.2,38.0,32.0,228.0,63.0,4.0,17.0,0.0,6.0,36.0,0.0,3.0,1.71,71.9,95.7
하준영,36.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,34.1,23.0,22.0,157.0,40.0,4.0,19.0,2.0,1.0,32.0,0.0,4.0,1.72,86.2,101.5
한승혁,196.0,0.0,0.0,25.0,14.0,18.0,2.0,19.0,307.1,219.0,208.0,1427.0,344.0,28.0,189.0,7.0,13.0,271.0,0.0,62.0,1.73,79.2,96.3
홍건희,141.0,0.0,0.0,25.0,8.0,15.0,5.0,5.0,285.0,207.0,192.0,1315.0,344.0,43.0,145.0,7.0,9.0,241.0,0.0,27.0,1.72,80.6,89.1
황인준,42.0,0.0,0.0,4.0,3.0,1.0,0.0,1.0,64.0,39.0,37.0,282.0,72.0,11.0,17.0,1.0,6.0,46.0,0.0,2.0,1.39,95.5,88.8
박주성,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,25.0,7.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,3.25,32.6,40.2
오주원,494.0,1.0,0.0,75.0,34.0,54.0,6.0,80.0,711.2,404.0,369.0,3095.0,745.0,78.0,282.0,4.0,26.0,471.0,2.0,31.0,1.44,99.2,97.5
이보근,457.0,0.0,0.0,5.0,35.0,38.0,15.0,82.0,594.1,336.0,304.0,2611.0,619.0,48.0,260.0,12.0,31.0,407.0,1.0,27.0,1.48,97.3,100.7
김상수,349.0,0.0,0.0,15.0,15.0,29.0,33.0,55.0,463.2,295.0,276.0,2119.0,507.0,49.0,253.0,10.0,22.0,448.0,1.0,30.0,1.64,87.0,100.4
브리검,63.0,2.0,1.0,62.0,23.0,14.0,0.0,1.0,385.1,187.0,171.0,1636.0,396.0,38.0,90.0,0.0,36.0,304.0,0.0,15.0,1.26,124.5,110.5
해커,151.0,6.0,0.0,148.0,61.0,37.0,0.0,0.0,935.2,420.0,382.0,3934.0,883.0,84.0,238.0,2.0,85.0,675.0,3.0,29.0,1.2,134.1,112.3
요키시,9.0,0.0,0.0,9.0,3.0,1.0,0.0,0.0,53.2,26.0,25.0,216.0,46.0,4.0,10.0,0.0,3.0,48.0,0.0,1.0,1.04,104.8,124.1
조덕길,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2,26.0,24.0,142.0,40.0,6.0,13.0,0.0,0.0,28.0,0.0,3.0,1.79,68.4,83.6
신재영,94.0,1.0,1.0,66.0,29.0,23.0,1.0,3.0,398.1,227.0,215.0,1725.0,470.0,64.0,69.0,3.0,36.0,230.0,1.0,4.0,1.35,104.4,91.0
손동욱,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,16.0,16.0,65.0,15.0,2.0,11.0,0.0,2.0,11.0,1.0,1.0,2.05,41.0,68.7
김동준,74.0,0.0,0.0,11.0,7.0,6.0,2.0,2.0,137.2,95.0,89.0,630.0,158.0,22.0,67.0,0.0,7.0,95.0,0.0,9.0,1.63,86.6,83.5
이상민,41.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,29.1,29.0,28.0,147.0,41.0,4.0,16.0,0.0,4.0,23.0,0.0,1.0,1.94,58.0,84.2
이영준,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.2,16.0,16.0,116.0,33.0,0.0,10.0,0.0,2.0,15.0,0.0,0.0,1.82,81.3,127.6
문성현,147.0,0.0,0.0,76.0,21.0,31.0,0.0,5.0,480.1,296.0,271.0,2154.0,514.0,52.0,245.0,0.0,18.0,361.0,0.0,28.0,1.58,91.6,93.9
윤영삼,67.0,0.0,0.0,2.0,3.0,5.0,3.0,2.0,100.2,68.0,66.0,455.0,126.0,15.0,36.0,2.0,1.0,94.0,0.0,7.0,1.61,85.4,102.1
양현,50.0,0.0,0.0,1.0,1.0,2.0,0.0,5.0,49.0,25.0,24.0,212.0,59.0,7.0,17.0,0.0,4.0,31.0,0.0,0.0,1.55,106.4,83.2
한현희,313.0,0.0,0.0,62.0,44.0,26.0,8.0,87.0,635.1,325.0,297.0,2764.0,654.0,67.0,193.0,2.0,77.0,522.0,1.0,22.0,1.33,113.5,102.8
조상우,171.0,0.0,0.0,7.0,21.0,14.0,28.0,32.0,252.2,101.0,91.0,1050.0,213.0,11.0,99.0,1.0,12.0,260.0,1.0,15.0,1.24,152.3,139.7
김성민,95.0,1.0,0.0,16.0,6.0,4.0,0.0,6.0,151.1,96.0,85.0,698.0,177.0,18.0,63.0,2.0,13.0,134.0,0.0,9.0,1.59,98.6,98.8
하영민,80.0,0.0,0.0,19.0,7.0,9.0,0.0,2.0,187.1,136.0,127.0,863.0,244.0,26.0,86.0,2.0,6.0,116.0,0.0,12.0,1.76,83.9,88.6
최원태,73.0,1.0,0.0,67.0,29.0,17.0,0.0,0.0,385.1,208.0,201.0,1680.0,438.0,36.0,103.0,0.0,30.0,299.0,1.0,13.0,1.4,107.4,111.9
서의태,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.0,4.0,6.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,4.5,9.5,36.2
이승호,41.0,1.0,1.0,13.0,4.0,4.0,0.0,4.0,101.0,57.0,55.0,439.0,101.0,13.0,45.0,1.0,5.0,80.0,0.0,10.0,1.45,101.1,93.4
김선기,21.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,22.2,22.0,20.0,120.0,34.0,5.0,16.0,1.0,0.0,21.0,0.0,3.0,2.21,64.9,74.4
안우진,29.0,0.0,0.0,14.0,5.0,8.0,0.0,1.0,93.0,72.0,66.0,427.0,107.0,10.0,45.0,0.0,5.0,87.0,3.0,7.0,1.63,77.6,101.4
피어밴드,114.0,2.0,1.0,112.0,36.0,42.0,0.0,0.0,682.2,355.0,314.0,2941.0,772.0,90.0,178.0,1.0,35.0,554.0,6.0,22.0,1.39,124.3,106.8
금민철,348.0,1.0,1.0,120.0,39.0,52.0,0.0,20.0,801.2,475.0,423.0,3658.0,878.0,63.0,446.0,2.0,75.0,523.0,0.0,51.0,1.65,97.5,91.5
김대유,17.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,17.2,19.0,19.0,95.0,21.0,2.0,22.0,1.0,1.0,18.0,0.0,4.0,2.43,50.9,71.3
김민,18.0,0.0,0.0,18.0,6.0,7.0,0.0,0.0,91.0,55.0,47.0,406.0,91.0,10.0,45.0,0.0,8.0,64.0,2.0,5.0,1.5,109.3,91.1
김민수,24.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,32.1,25.0,22.0,160.0,45.0,2.0,17.0,0.0,1.0,25.0,1.0,6.0,1.92,85.0,111.9
김용주,28.0,0.0,0.0,7.0,1.0,4.0,0.0,0.0,34.2,38.0,36.0,176.0,42.0,5.0,32.0,0.0,1.0,27.0,0.0,1.0,2.14,52.8,72.2
김재윤,211.0,0.0,0.0,0.0,20.0,14.0,50.0,7.0,212.0,120.0,112.0,911.0,232.0,24.0,60.0,11.0,4.0,255.0,0.0,8.0,1.38,107.4,142.3
김태오,10.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,23.0,17.0,15.0,116.0,37.0,4.0,11.0,0.0,3.0,14.0,0.0,0.0,2.09,87.2,75.0
알칸타라,8.0,1.0,0.0,8.0,4.0,3.0,0.0,0.0,56.1,18.0,17.0,223.0,49.0,4.0,9.0,0.0,3.0,35.0,0.0,2.0,1.03,165.8,112.8
류희운,58.0,0.0,0.0,16.0,5.0,5.0,0.0,1.0,133.1,107.0,103.0,630.0,165.0,30.0,70.0,0.0,10.0,83.0,1.0,8.0,1.76,75.0,70.6
박세진,19.0,0.0,0.0,14.0,1.0,9.0,0.0,0.0,62.2,62.0,60.0,306.0,87.0,15.0,38.0,2.0,4.0,40.0,0.0,9.0,2.0,60.4,68.0
배우열,87.0,0.0,0.0,0.0,1.0,3.0,1.0,9.0,105.1,81.0,77.0,498.0,149.0,14.0,39.0,0.0,5.0,96.0,0.0,10.0,1.79,76.4,102.4
배제성,32.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,60.2,46.0,44.0,292.0,72.0,5.0,43.0,0.0,3.0,47.0,0.0,12.0,1.9,77.7,90.8
손동현,20.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,23.1,15.0,13.0,104.0,23.0,1.0,14.0,2.0,0.0,15.0,1.0,0.0,1.59,89.8,100.8
신병률,21.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,25.2,22.0,20.0,120.0,35.0,6.0,7.0,0.0,3.0,14.0,0.0,1.0,1.64,75.6,74.5
엄상백,195.0,0.0,0.0,28.0,8.0,24.0,3.0,28.0,281.1,214.0,195.0,1301.0,334.0,34.0,137.0,7.0,26.0,223.0,1.0,15.0,1.67,82.0,93.9
쿠에바스,10.0,0.0,0.0,10.0,3.0,4.0,0.0,0.0,61.1,35.0,32.0,260.0,64.0,7.0,16.0,0.0,3.0,57.0,0.0,0.0,1.3,95.9,105.9
윤근영,269.0,0.0,0.0,22.0,8.0,17.0,2.0,22.0,319.1,229.0,208.0,1497.0,377.0,29.0,190.0,3.0,24.0,202.0,1.0,33.0,1.78,80.9,88.7
이대은,8.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,41.1,33.0,27.0,197.0,43.0,7.0,25.0,0.0,4.0,27.0,0.0,1.0,1.65,76.6,66.7
이상동,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,66.7,32.4
이상화,137.0,0.0,0.0,22.0,10.0,17.0,8.0,8.0,236.0,165.0,152.0,1073.0,300.0,27.0,85.0,3.0,9.0,176.0,1.0,10.0,1.63,85.2,101.6
이종혁,66.0,0.0,0.0,0.0,2.0,5.0,1.0,4.0,70.1,44.0,39.0,327.0,90.0,7.0,29.0,3.0,8.0,43.0,0.0,3.0,1.69,102.2,94.2
전용주,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,21.0,6.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,4.0,30.0,33.2
전유수,326.0,0.0,0.0,0.0,16.0,15.0,3.0,18.0,377.2,237.0,217.0,1713.0,418.0,40.0,185.0,15.0,22.0,310.0,1.0,20.0,1.6,89.6,95.9
정성곤,119.0,0.0,0.0,44.0,8.0,27.0,4.0,12.0,281.0,225.0,211.0,1322.0,346.0,40.0,149.0,2.0,13.0,200.0,4.0,14.0,1.76,75.5,85.8
조근종,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,8.0,8.0,47.0,15.0,2.0,3.0,0.0,1.0,10.0,0.0,0.0,1.86,65.8,87.0
조현우,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,15.0,3.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,112.0,57.0
주권,149.0,1.0,1.0,51.0,16.0,27.0,1.0,12.0,352.2,269.0,255.0,1608.0,452.0,55.0,117.0,1.0,21.0,188.0,1.0,12.0,1.61,78.3,85.2
최건,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,17.0,5.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,3.0,56.7,78.4
하준호,0,322.0,836.0,726.0,111.0,169.0,32.0,1.0,14.0,245.0,72.0,32.0,13.0,70.0,22.0,1.0,236.0,8.0,15.0,3.0,0.337,0.655,0.3
니퍼트,214.0,8.0,2.0,205.0,102.0,51.0,0.0,1.0,1291.1,557.0,515.0,5442.0,1239.0,112.0,420.0,2.0,60.0,1082.0,0.0,60.0,1.29,130.6,113.7
강정현,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,108.9
고우석,102.0,0.0,0.0,0.0,5.0,7.0,6.0,5.0,117.2,69.0,62.0,533.0,114.0,13.0,62.0,3.0,9.0,92.0,1.0,5.0,1.5,102.9,90.4
김대현,54.0,0.0,0.0,38.0,7.0,18.0,0.0,0.0,206.1,167.0,156.0,937.0,256.0,29.0,83.0,3.0,17.0,114.0,2.0,21.0,1.64,72.3,82.6
김영준,14.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,20.2,12.0,10.0,100.0,19.0,3.0,15.0,0.0,3.0,16.0,0.0,3.0,1.65,115.8,74.0
김정후,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,8.0,7.0,82.0,13.0,3.0,13.0,0.0,1.0,13.0,0.0,0.0,1.37,147.7,72.5
김지용,181.0,0.0,0.0,0.0,13.0,14.0,4.0,38.0,203.2,110.0,105.0,862.0,203.0,38.0,56.0,7.0,10.0,170.0,1.0,12.0,1.27,104.6,88.1
류제국,125.0,1.0,1.0,124.0,46.0,35.0,0.0,0.0,682.0,392.0,356.0,3010.0,681.0,64.0,288.0,4.0,76.0,549.0,1.0,60.0,1.42,101.6,97.9
문광은,147.0,0.0,0.0,10.0,5.0,13.0,3.0,17.0,188.2,155.0,145.0,867.0,237.0,35.0,82.0,8.0,8.0,158.0,3.0,21.0,1.69,70.6,86.6
배재준,24.0,0.0,0.0,12.0,2.0,3.0,0.0,0.0,72.2,51.0,43.0,331.0,72.0,6.0,36.0,0.0,6.0,65.0,0.0,4.0,1.49,92.3,103.2
성동현,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,135.5
신정락,208.0,0.0,0.0,29.0,17.0,22.0,10.0,24.0,343.1,217.0,194.0,1514.0,352.0,29.0,124.0,5.0,47.0,296.0,0.0,16.0,1.39,89.1,103.6
심수창,389.0,0.0,0.0,111.0,42.0,67.0,14.0,24.0,924.1,603.0,551.0,4235.0,1149.0,114.0,397.0,13.0,44.0,535.0,2.0,60.0,1.67,84.9,89.8
여건욱,62.0,0.0,0.0,14.0,4.0,6.0,0.0,1.0,122.1,88.0,85.0,562.0,143.0,23.0,62.0,5.0,6.0,80.0,1.0,6.0,1.68,76.5,75.8
오석주,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,24.0,6.0,2.0,3.0,0.0,0.0,4.0,0.0,1.0,1.8,81.9,47.2
윌슨,36.0,2.0,1.0,36.0,13.0,6.0,0.0,0.0,236.2,82.0,72.0,950.0,210.0,12.0,49.0,1.0,11.0,196.0,1.0,13.0,1.09,179.0,139.8
이동현,696.0,0.0,0.0,35.0,53.0,47.0,41.0,113.0,905.1,457.0,411.0,3935.0,921.0,84.0,364.0,27.0,41.0,682.0,1.0,42.0,1.42,111.4,107.9
임지섭,14.0,0.0,0.0,13.0,2.0,6.0,0.0,0.0,51.0,47.0,46.0,249.0,44.0,7.0,60.0,0.0,3.0,49.0,0.0,15.0,2.04,60.1,67.3
임찬규,175.0,0.0,0.0,80.0,32.0,37.0,8.0,2.0,521.0,318.0,295.0,2367.0,589.0,64.0,240.0,6.0,47.0,430.0,0.0,32.0,1.59,89.7,88.5
장원삼,349.0,3.0,2.0,283.0,121.0,95.0,1.0,9.0,1648.1,840.0,769.0,7057.0,1710.0,193.0,530.0,5.0,54.0,1186.0,2.0,40.0,1.36,110.2,104.9
정용운,54.0,0.0,0.0,19.0,4.0,4.0,0.0,0.0,102.1,83.0,75.0,497.0,112.0,10.0,79.0,1.0,9.0,55.0,1.0,6.0,1.87,75.2,76.9
정우영,22.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,28.1,8.0,6.0,108.0,18.0,0.0,5.0,0.0,2.0,20.0,1.0,2.0,0.81,232.0,152.4
정찬헌,324.0,0.0,0.0,14.0,27.0,37.0,46.0,28.0,428.1,259.0,249.0,1932.0,489.0,41.0,169.0,23.0,36.0,310.0,0.0,32.0,1.54,90.7,103.9
진해수,528.0,0.0,0.0,7.0,12.0,28.0,2.0,97.0,391.0,264.0,249.0,1805.0,460.0,38.0,189.0,11.0,30.0,298.0,0.0,16.0,1.66,79.2,93.5
차우찬,418.0,4.0,1.0,201.0,97.0,66.0,1.0,32.0,1458.2,792.0,722.0,6378.0,1451.0,172.0,653.0,6.0,55.0,1269.0,5.0,78.0,1.44,102.6,96.2
최동환,157.0,0.0,0.0,0.0,6.0,3.0,3.0,9.0,183.1,120.0,114.0,831.0,189.0,33.0,85.0,1.0,20.0,128.0,1.0,16.0,1.5,86.8,76.2
최성훈,125.0,0.0,0.0,6.0,7.0,7.0,1.0,12.0,136.2,81.0,72.0,637.0,166.0,13.0,61.0,4.0,10.0,63.0,0.0,8.0,1.66,99.4,90.5
켈리,10.0,0.0,0.0,10.0,5.0,3.0,0.0,0.0,62.1,22.0,15.0,255.0,50.0,1.0,16.0,0.0,5.0,53.0,0.0,2.0,1.06,204.2,142.2
임정우,229.0,0.0,0.0,28.0,14.0,25.0,34.0,7.0,368.0,194.0,184.0,1635.0,387.0,24.0,165.0,10.0,34.0,327.0,2.0,26.0,1.5,102.7,110.6
손주영,9.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,17.2,14.0,14.0,88.0,19.0,0.0,15.0,0.0,3.0,12.0,0.0,1.0,1.93,69.3,91.9
이준형,29.0,0.0,0.0,15.0,2.0,8.0,0.0,0.0,77.0,61.0,53.0,370.0,91.0,5.0,54.0,2.0,5.0,40.0,0.0,15.0,1.88,79.7,84.8
고효준,378.0,0.0,0.0,81.0,37.0,47.0,4.0,22.0,711.1,475.0,428.0,3290.0,671.0,73.0,486.0,7.0,71.0,707.0,5.0,68.0,1.63,89.5,89.6
구승민,99.0,0.0,0.0,3.0,8.0,7.0,0.0,19.0,124.0,80.0,77.0,548.0,130.0,23.0,54.0,10.0,6.0,125.0,1.0,10.0,1.48,91.5,95.4
김건국,19.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,30.2,18.0,18.0,141.0,43.0,2.0,10.0,0.0,3.0,21.0,0.0,2.0,1.73,89.3,105.5
김대우,9.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,12.2,22.0,22.0,71.0,25.0,4.0,10.0,0.0,0.0,6.0,0.0,1.0,2.76,31.5,55.1
김원중,81.0,0.0,0.0,65.0,18.0,20.0,0.0,1.0,330.1,237.0,229.0,1546.0,383.0,51.0,177.0,2.0,26.0,296.0,0.0,18.0,1.7,81.4,87.5
김현수,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.0,1.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,68.2,76.3
박근홍,336.0,0.0,0.0,5.0,7.0,9.0,1.0,31.0,274.2,180.0,166.0,1293.0,268.0,25.0,186.0,6.0,35.0,256.0,0.0,28.0,1.65,85.2,90.4
박세웅,100.0,0.0,0.0,88.0,22.0,34.0,0.0,0.0,473.1,306.0,286.0,2136.0,542.0,64.0,201.0,3.0,31.0,372.0,0.0,29.0,1.57,94.4,95.1
박시영,121.0,0.0,0.0,11.0,4.0,7.0,0.0,6.0,169.0,133.0,126.0,784.0,190.0,31.0,91.0,5.0,6.0,150.0,0.0,21.0,1.66,74.9,84.0
박진,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,51.2,97.1
박진형,99.0,0.0,0.0,23.0,13.0,8.0,2.0,14.0,195.1,128.0,119.0,904.0,214.0,18.0,109.0,2.0,18.0,185.0,3.0,12.0,1.65,93.2,102.0
배장호,300.0,0.0,0.0,8.0,19.0,11.0,3.0,23.0,379.2,209.0,191.0,1682.0,427.0,29.0,137.0,18.0,45.0,187.0,0.0,6.0,1.49,103.5,99.1
레일리,131.0,3.0,1.0,130.0,44.0,44.0,0.0,0.0,784.0,418.0,362.0,3387.0,823.0,90.0,229.0,4.0,68.0,659.0,7.0,29.0,1.34,122.6,108.4
서준원,14.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,9.0,8.0,73.0,18.0,1.0,8.0,0.0,3.0,15.0,1.0,0.0,1.73,96.0,96.0
손승락,565.0,1.0,0.0,40.0,43.0,46.0,266.0,5.0,769.1,335.0,313.0,3246.0,788.0,56.0,219.0,23.0,31.0,631.0,3.0,30.0,1.31,127.2,131.8
송승준,307.0,8.0,4.0,279.0,107.0,83.0,0.0,1.0,1611.1,874.0,801.0,7017.0,1701.0,172.0,618.0,21.0,72.0,1206.0,1.0,73.0,1.44,104.6,103.9
오현택,316.0,0.0,0.0,2.0,16.0,11.0,5.0,53.0,334.2,163.0,155.0,1434.0,362.0,43.0,89.0,5.0,23.0,284.0,2.0,3.0,1.35,114.6,105.2
윤길현,635.0,0.0,0.0,37.0,44.0,41.0,30.0,111.0,800.2,412.0,383.0,3469.0,761.0,86.0,354.0,19.0,38.0,676.0,1.0,54.0,1.39,103.9,104.0
윤성빈,19.0,0.0,0.0,11.0,2.0,6.0,0.0,0.0,51.0,39.0,39.0,239.0,51.0,5.0,39.0,0.0,3.0,65.0,0.0,6.0,1.77,73.3,100.7
이인복,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.1,52.0,47.0,207.0,73.0,8.0,20.0,0.0,3.0,18.0,1.0,5.0,2.49,45.2,69.2
장시환,220.0,0.0,0.0,25.0,17.0,31.0,19.0,16.0,364.2,251.0,229.0,1700.0,412.0,29.0,215.0,10.0,24.0,343.0,0.0,50.0,1.72,83.4,101.7
정성종,20.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,34.0,23.0,21.0,163.0,39.0,3.0,20.0,1.0,2.0,19.0,0.0,4.0,1.74,91.7,90.0
정태승,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,4.0,28.0,6.0,0.0,6.0,0.0,0.0,3.0,0.0,2.0,2.4,67.2,80.6
톰슨,9.0,1.0,1.0,9.0,2.0,2.0,0.0,0.0,53.1,26.0,24.0,225.0,42.0,2.0,20.0,0.0,3.0,54.0,0.0,8.0,1.16,113.7,133.8
조무근,101.0,0.0,0.0,1.0,11.0,5.0,4.0,9.0,127.0,77.0,65.0,576.0,137.0,10.0,64.0,1.0,10.0,124.0,0.0,15.0,1.58,111.2,113.2
