이름,연도,피안타,피2루타,피3루타,피홈런,FIP,K/9,BB/9,삼진율,사구율,PFR,피안타율,피장타율,경기당이닝수,P/PA,뜬공/땅볼,장타/안타
윤희상,2018,55,5,1,8,7,4.62,7.77,1.24,20.9,3.3,1.0,0.274,0.428,1.1,3.86,1.55
이민호,2015,103,23,5,15,41,4.88,9.66,3.84,23.6,9.4,1.5,0.279,0.491,1.5,3.98,0.75
이민호,2016,159,29,3,18,55,5.42,7.03,3.79,16.9,9.1,1.2,0.299,0.467,2.9,3.83,1.03
이민호,2017,88,21,2,10,30,4.41,8.73,3.05,22.2,7.7,1.31,0.258,0.419,1.5,4.03,0.8
이민호,2018,52,9,0,8,19,5.49,7.56,3.42,18.8,8.5,1.22,0.263,0.429,1.0,3.7,0.79
박희수,2015,13,2,0,3,8,7.82,10.8,7.2,23.5,15.7,2.0,0.31,0.571,0.7,3.63,1.43
박희수,2016,43,6,0,3,26,4.69,6.09,4.28,15.6,11.0,1.15,0.214,0.289,1.1,3.85,1.52
박희수,2017,49,13,0,8,19,6.52,6.87,4.5,15.8,10.4,1.26,0.31,0.544,0.8,4.07,1.31
박희수,2018,35,8,0,1,15,4.05,8.18,4.09,20.5,10.3,1.36,0.278,0.365,0.9,4.19,1.21
김강률,2015,14,3,1,1,10,5.59,4.3,6.14,10.4,14.9,1.16,0.25,0.393,0.9,3.55,1.19
김강률,2016,31,5,2,2,17,5.26,6.75,5.46,16.8,13.6,1.36,0.301,0.447,1.1,3.79,2.0
김강률,2017,89,8,1,6,32,4.15,7.38,3.24,19.1,8.4,1.18,0.263,0.346,1.3,3.9,1.67
김강률,2018,72,10,0,7,24,3.93,9.59,2.84,25.6,7.6,1.38,0.253,0.361,1.2,3.88,1.2
이동현,2015,65,13,0,4,20,3.50,8.34,3.03,21.3,7.8,1.26,0.288,0.398,1.0,3.69,0.98
이동현,2016,54,13,0,5,14,4.51,7.89,2.91,19.5,7.2,1.2,0.318,0.482,0.9,3.88,0.77
이동현,2017,52,11,0,4,10,3.58,6.93,1.78,18.5,4.7,0.97,0.278,0.401,1.1,3.81,1.37
이동현,2018,49,10,0,6,7,5.54,5.7,1.73,13.8,4.2,0.83,0.322,0.507,1.0,3.4,1.16
장시환,2015,73,13,2,1,28,2.87,9.04,3.38,24.4,9.1,1.38,0.265,0.337,1.6,3.99,1.29
장시환,2016,93,24,2,7,43,5.09,8.0,5.14,18.4,11.8,1.46,0.307,0.469,1.9,3.86,2.11
