이름,연도,피안타,피2루타,피3루타,피홈런,FIP,K/9,BB/9,삼진율,사구율,PFR,피안타율,피장타율,경기당이닝수,P/PA,뜬공/땅볼,장타/안타
김사율,2018,56,14,1,12,10,6.46,6.95,1.99,17.2,4.9,0.99,0.295,0.568,1.6,3.86,0.8
이동걸,2015,58,13,0,8,28,6.80,5.08,5.68,11.4,12.8,1.2,0.324,0.531,1.4,3.53,0.81
이동걸,2016,6,1,0,2,2,9.79,1.8,3.6,4.3,8.7,0.6,0.286,0.619,1.0,3.48,1.33
이동걸,2017,36,8,1,5,5,4.96,5.4,1.23,15.1,3.4,0.74,0.261,0.442,1.5,3.62,1.22
이동걸,2018,5,2,0,1,0,8.33,9.0,0.0,18.2,0.0,1.0,0.455,0.909,2.0,3.36,3.0
최동환,2015,32,5,0,7,6,7.00,9.15,2.61,20.8,5.9,1.31,0.348,0.63,1.2,4.18,0.77
최동환,2016,30,5,0,2,15,4.92,5.71,3.89,14.6,9.9,1.07,0.234,0.32,1.3,3.89,0.49
최동환,2017,39,7,0,9,15,6.76,7.34,3.55,18.1,8.8,1.21,0.262,0.49,1.1,3.76,0.65
최동환,2018,33,7,0,6,11,5.56,6.81,2.68,17.9,7.1,1.05,0.237,0.417,1.3,3.89,0.7
심수창,2015,99,14,0,9,29,4.28,9.33,3.56,22.4,8.5,1.43,0.326,0.461,1.9,3.8,1.15
심수창,2016,138,23,1,14,58,5.65,6.04,4.61,14.4,11.0,1.18,0.307,0.457,1.7,3.84,1.11
심수창,2017,71,13,3,8,22,4.88,8.53,3.47,20.8,8.5,1.33,0.307,0.494,1.2,3.84,0.74
심수창,2018,7,0,0,2,0,13.26,7.71,0.0,15.4,0.0,0.86,0.583,1.083,0.8,3.92,0.5
박근홍,2015,39,8,0,3,24,4.01,10.17,4.44,25.9,11.3,1.62,0.223,0.32,0.7,4.3,0.84
박근홍,2016,42,5,0,5,27,5.62,8.78,5.93,20.8,14.1,1.63,0.269,0.397,0.7,4.37,0.48
박근홍,2017,13,0,1,2,14,6.74,8.22,8.22,18.4,18.4,1.83,0.232,0.375,0.6,4.08,1.42
박근홍,2018,28,4,0,3,12,5.53,10.57,4.7,23.1,10.3,1.7,0.292,0.427,1.1,4.16,1.1
송창식,2015,115,20,0,29,64,7.29,7.18,5.28,17.3,12.7,1.39,0.271,0.524,1.7,4.07,0.68
송창식,2016,97,11,2,10,45,5.24,7.1,4.15,17.6,10.3,1.25,0.259,0.38,1.5,3.91,0.6
송창식,2017,77,20,2,13,33,5.69,7.86,4.05,19.3,10.0,1.32,0.268,0.488,1.2,3.99,0.78
송창식,2018,15,4,0,2,4,5.81,5.68,2.84,13.8,6.9,0.95,0.3,0.5,1.1,3.97,0.8
윤근영,2015,35,2,1,3,21,5.87,5.91,5.91,13.5,13.5,1.31,0.282,0.387,1.9,3.7,1.83
윤근영,2016,6,2,0,0,5,7.79,2.25,11.25,4.0,20.0,1.5,0.316,0.421,1.3,3.56,3.0
윤근영,2017,23,2,0,4,5,6.24,5.5,2.5,14.1,6.4,0.89,0.324,0.521,1.5,3.64,1.85
윤근영,2018,26,5,0,3,10,5.75,9.18,5.4,19.8,11.6,1.62,0.351,0.541,1.0,3.67,1.82
임현준,2015,11,3,1,3,2,8.83,8.53,2.84,18.2,6.1,1.26,0.355,0.807,0.9,3.91,1.0
임현준,2016,4,0,0,1,0,19.79,0.0,0.0,0.0,0.0,0.0,0.571,1.0,0.5,3.88,2.0
임현준,2017,11,3,0,0,4,4.67,3.38,3.38,8.3,8.3,0.75,0.275,0.35,1.0,4.02,0.92
임현준,2018,20,4,1,3,11,4.99,8.46,3.58,22.4,9.5,1.34,0.204,0.357,0.7,3.99,0.58
민성기,2015,28,6,0,2,23,6.03,7.36,8.07,16.4,18.0,1.71,0.28,0.4,1.2,4.36,1.55
민성기,2016,33,9,0,2,15,5.45,5.72,4.77,13.7,11.5,1.17,0.3,0.436,1.1,3.98,0.97
민성기,2017,10,2,0,1,3,5.35,7.27,3.12,17.9,7.7,1.15,0.294,0.441,1.2,3.9,3.25
민성기,2018,11,3,0,1,4,5.90,3.72,3.72,9.5,9.5,0.83,0.306,0.472,1.2,3.83,0.91
고효준,2015,61,13,0,8,31,6.03,7.59,5.47,17.5,12.6,1.45,0.296,0.476,1.7,4.03,1.1
고효준,2016,54,12,1,6,29,5.18,10.17,5.67,23.4,13.1,1.76,0.29,0.462,1.9,4.16,1.31
고효준,2017,44,7,1,1,22,4.34,7.88,4.95,18.8,11.8,1.43,0.28,0.357,1.0,4.17,1.11
고효준,2018,33,8,1,3,23,4.76,10.86,6.4,25.5,15.0,1.92,0.26,0.409,0.8,4.37,0.62
이명우,2015,78,14,0,5,20,4.63,5.19,3.05,12.6,7.4,0.92,0.331,0.453,1.0,3.77,1.76
이명우,2016,41,10,1,5,18,5.61,6.82,4.91,15.9,11.5,1.3,0.306,0.508,0.7,3.87,1.83
이명우,2017,34,3,0,3,7,5.09,5.06,2.36,12.1,5.6,0.83,0.304,0.411,0.8,3.73,1.52
이명우,2018,59,15,0,1,9,3.54,5.11,1.84,12.5,4.5,0.77,0.317,0.414,0.8,3.66,2.36
정재원,2015,5,0,0,2,3,10.37,9.0,6.75,21.1,15.8,1.75,0.333,0.733,1.3,4.74,1.0
정재원,2016,28,7,0,2,9,4.78,6.75,3.8,15.7,8.8,1.17,0.311,0.456,1.5,3.66,1.56
정재원,2017,23,4,0,0,11,5.16,3.86,4.71,9.1,11.1,0.95,0.284,0.333,1.5,3.81,1.33
정재원,2018,8,4,0,0,1,5.12,0.0,3.86,0.0,6.7,0.43,0.571,0.857,1.2,3.67,2.0
