이름,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,볼넷,사구,고4,삼진,타율,출루,장타,OPS
장성우,625,1734,1524,165,395,59,2,39,575,216,167,7,3,334,0.259,0.33,0.377,0.708
정주후,19,5,5,5,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
정현,205,562,496,64,141,28,3,9,202,54,28,22,0,105,0.284,0.348,0.407,0.755
조용호,88,244,209,39,55,8,1,0,65,10,25,3,0,45,0.263,0.35,0.311,0.661
홍현빈,22,21,19,3,3,0,0,0,3,1,2,0,0,9,0.158,0.238,0.158,0.396
황재균,1372,5474,4867,715,1393,271,32,147,2169,702,450,50,14,924,0.286,0.349,0.446,0.795
김재성,9,7,6,0,0,0,0,0,0,0,1,0,0,2,0.0,0.143,0.0,0.143
유강남,536,1635,1467,170,402,73,1,58,651,236,86,44,1,287,0.274,0.33,0.444,0.774
이성우,457,725,647,53,147,23,0,4,182,56,35,6,1,104,0.227,0.271,0.281,0.552
정상호,1106,2687,2359,282,586,120,3,73,931,338,182,62,2,665,0.248,0.316,0.395,0.711
박재욱,26,50,47,5,12,2,0,0,14,4,2,0,0,9,0.255,0.286,0.298,0.584
김기연,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김민성,1210,4467,3914,516,1083,210,11,101,1618,539,358,85,12,740,0.277,0.347,0.413,0.76
김용의,700,1823,1586,254,421,49,14,8,522,143,178,8,6,355,0.265,0.34,0.329,0.67
김재율,145,311,280,31,72,14,0,7,107,40,21,4,0,61,0.257,0.316,0.382,0.698
류형우,8,8,7,2,2,0,0,0,2,1,1,0,0,1,0.286,0.375,0.286,0.661
박지규,128,242,218,28,43,10,1,1,58,17,13,3,0,66,0.197,0.25,0.266,0.516
백승현,16,43,36,4,9,2,0,0,11,2,5,1,0,11,0.25,0.357,0.306,0.663
서상우,185,425,366,61,103,13,0,13,155,50,50,6,2,101,0.281,0.375,0.424,0.799
신민재,22,13,13,8,6,0,0,0,6,1,0,0,0,0,0.462,0.462,0.462,0.923
양원혁,10,8,7,5,3,0,0,0,3,1,1,0,0,0,0.429,0.5,0.429,0.929
양종민,146,157,139,24,26,5,1,1,36,17,11,0,0,48,0.187,0.245,0.259,0.504
오지환,1117,4356,3740,607,977,181,42,98,1536,493,467,57,12,1041,0.261,0.349,0.411,0.759
윤진호,328,241,215,39,35,8,0,0,43,11,10,2,0,59,0.163,0.207,0.2,0.407
장시윤,34,47,41,7,10,0,0,0,10,2,3,1,0,11,0.244,0.311,0.244,0.555
정주현,381,932,815,132,189,36,6,9,264,84,94,2,0,216,0.232,0.311,0.324,0.635
조셉,22,88,79,9,19,0,0,6,37,17,6,2,0,19,0.241,0.307,0.468,0.775
김주성,2,1,1,1,1,0,0,0,1,0,0,0,0,0,1.0,1.0,1.0,2.0
양석환,477,1614,1489,175,393,86,5,50,639,250,86,13,4,297,0.264,0.307,0.429,0.736
장준원,42,46,42,4,6,0,0,0,6,1,3,0,0,12,0.143,0.196,0.143,0.339
김현수,1292,5471,4681,777,1505,280,20,164,2317,892,667,50,59,581,0.322,0.406,0.495,0.901
박용택,2105,8802,7827,1231,2408,422,44,210,3548,1144,774,74,48,1350,0.308,0.371,0.453,0.825
이천웅,345,1190,1045,154,321,53,5,12,420,133,113,13,4,174,0.307,0.38,0.402,0.782
이형종,332,1173,1030,164,301,55,2,24,432,105,100,26,0,193,0.292,0.368,0.419,0.788
전민수,175,458,407,52,112,26,1,4,152,42,38,4,0,86,0.275,0.342,0.373,0.716
채은성,575,1967,1757,223,527,97,11,43,775,289,124,44,3,338,0.3,0.356,0.441,0.798
홍창기,21,36,28,2,3,2,0,0,5,0,7,1,0,13,0.107,0.306,0.179,0.484
최민창,13,33,29,1,8,0,0,0,8,2,3,0,0,7,0.276,0.333,0.276,0.609
문성주,5,3,3,1,1,0,0,0,1,0,0,0,0,1,0.333,0.333,0.333,0.667
김사훈,170,257,225,15,48,9,0,0,57,22,14,3,0,65,0.213,0.268,0.253,0.521
김준태,128,261,224,18,51,5,1,2,64,24,32,0,1,75,0.228,0.323,0.286,0.609
나종덕,140,259,223,19,30,4,0,2,40,15,15,7,0,100,0.135,0.211,0.179,0.391
안중열,179,371,336,39,78,23,0,5,116,35,20,3,0,108,0.232,0.281,0.345,0.626
강로한,50,87,83,17,21,5,3,1,35,10,2,1,0,31,0.253,0.276,0.422,0.698
