이름,타율,출루,장타,ops,wOBA,wRC+
김형준,0.160,0.236,0.173,0.409,0.204,5.5
정범모,0.214,0.288,0.321,0.609,0.275,51.636
박민우,0.329,0.405,0.429,0.833,0.378,120.743
손시헌,0.27,0.346,0.374,0.72,0.327,88.608
모창민,0.281,0.332,0.449,0.781,0.342,96.516
스크럭스,0.271,0.363,0.52,0.883,0.378,119.0
김태진,0.403,0.441,0.468,0.909,0.409,139.8
노진혁,0.226,0.257,0.356,0.612,0.269,47.74
최준석,0.27,0.363,0.432,0.795,0.361,111.654
이우성,0.255,0.324,0.372,0.696,0.313,77.7
권희동,0.276,0.356,0.414,0.769,0.344,96.26
이종욱,0.283,0.344,0.376,0.72,0.329,89.762
나성범,0.322,0.388,0.537,0.926,0.402,134.838
