이름,타율,출루,장타,ops,wOBA,wRC+
박세혁,0.265,0.34,0.388,0.729,0.324,86.94
장승현,0.385,0.429,0.385,0.813,0.333,88.9
양의지,0.307,0.387,0.494,0.881,0.388,131.936
허경민,0.29,0.357,0.382,0.738,0.335,91.179
오재원,0.277,0.354,0.388,0.742,0.337,95.821
오재일,0.267,0.347,0.479,0.826,0.362,116.578
전민재,0.375,0.375,0.500,0.875,0.385,125.2
김재호,0.28,0.358,0.389,0.747,0.338,95.335
최주환,0.297,0.36,0.455,0.814,0.36,110.803
이병휘,0.273,0.333,0.318,0.652,0.305,71.2
류지혁,0.309,0.373,0.374,0.747,0.343,98.16
정수빈,0.294,0.359,0.39,0.75,0.339,94.916
김재환,0.286,0.364,0.523,0.887,0.382,129.564
김인태,0.221,0.275,0.337,0.612,0.273,52.55
