이름,타율,출루,장타,ops,wOBA,wRC+
장성우,0.256,0.329,0.394,0.723,0.323,82.069
황재균,0.285,0.351,0.452,0.803,0.356,106.253
박기혁,0.233,0.304,0.287,0.591,0.274,51.641
심우준,0.255,0.287,0.356,0.643,0.282,52.7
오태곤,0.235,0.323,0.388,0.711,0.32,78.521
박경수,0.26,0.363,0.412,0.775,0.348,100.538
정현,0.264,0.314,0.393,0.707,0.307,70.933
송민섭,0.182,0.214,0.22,0.433,0.189,-7.533
로하스,0.304,0.376,0.58,0.956,0.403,133.9
강백호,0.290,0.356,0.524,0.879,0.375,115.3
유한준,0.31,0.38,0.466,0.845,0.376,117.85
배정대,0.202,0.225,0.219,0.444,0.207,2.25
김진곤,0.259,0.274,0.383,0.656,0.289,58.367
