이름,타율,출루,장타,ops,wOBA,wRC+
최재훈,0.267,0.346,0.315,0.661,0.311,74.749
지성준,0.267,0.297,0.385,0.681,0.3,65.2
김창혁,0.200,0.200,0.300,0.500,0.216,12.5
송광민,0.291,0.332,0.434,0.766,0.339,91.515
이성열,0.253,0.329,0.425,0.755,0.338,94.229
백창수,0.285,0.364,0.465,0.829,0.363,110.781
정근우,0.305,0.381,0.436,0.817,0.367,113.333
오선진,0.232,0.302,0.286,0.588,0.275,53.624
정은원,0.249,0.324,0.363,0.688,0.308,71.5
강경학,0.23,0.32,0.319,0.639,0.294,60.887
하주석,0.253,0.297,0.348,0.645,0.29,59.381
오선진,0.232,0.302,0.286,0.588,0.275,53.624
정경운,0.123,0.139,0.145,0.284,0.126,-46.967
김회성,0.221,0.334,0.392,0.726,0.325,80.711
양성우,0.258,0.344,0.335,0.68,0.315,77.6
최진행,0.274,0.365,0.449,0.814,0.365,109.92
박준혁,0.196,0.207,0.338,0.545,0.233,21.9
강상원,0.214,0.214,0.286,0.500,0.222,16.8
김민하,0.221,0.281,0.332,0.613,0.273,47.54
장민석,0.234,0.292,0.3,0.592,0.273,50.536
장진혁,0.214,0.313,0.357,0.670,0.304,69.2
이용규,0.301,0.386,0.367,0.752,0.351,103.442
호잉,0.306,0.370,0.573,0.942,0.391,124.8
