date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2015-08-15,삼성,4초,차우찬,A,9 장운호,B,1-0,3루수 땅볼,2사  2:2
2015-08-15,삼성,7초,심창민,A,9 장운호,B,2-0,장운호/11122 : 삼진 아웃,무사  2:2
2015-08-15,삼성,8초,안지만,A,9 장운호,B,2-1,장운호/11122 : 삼진 아웃,"2사 1,2루 4:5"
2015-09-01,KIA,8말,한승혁,A,3 장운호,B,2-1,장운호/11122 : 삼진 아웃,2사 1루 2:8
2015-09-03,넥센,10말,김동준,A,8 장운호,B,2-3,볼넷,1사 3루 12:6
2014-05-18,SK,1말,김광현,A,2 장운호,B,2-3,좌중간 2루타,무사 1루 1:0
2014-05-18,SK,3말,김광현,A,2 장운호,B,2-2,우익수 오른쪽 안타,무사  1:2
2014-05-18,SK,5말,김광현,A,2 장운호,B,1-0,우익수 뜬공,1사 1루 2:2
2014-05-18,SK,7말,김광현,A,2 장운호,B,0-0,투수 희생번트,무사 1루 2:4
2014-05-20,넥센,3초,하영민,A,8 장운호,B,2-3,중견수 뜬공,무사  0:1
2014-05-20,넥센,5초,하영민,A,8 장운호,B,1-3,유격수 땅볼,2사  1:2
2014-05-21,넥센,8초,마정길,A,7 장운호,B,2-2,장운호/1122 : 삼진 아웃,2사  4:4
2014-05-21,넥센,9초,송신영,A,7 장운호,B,1-1,중견수 뜬공,2사 1루 9:4
2014-05-22,넥센,2초,밴헤켄,A,8 장운호,B,2-2,2루수 인필드플라이,1사 만루 0:0
2014-05-23,두산,9초,정대현,A,2 장운호,B,1-0,중견수 왼쪽 안타,무사 1루 5:11
2014-05-24,두산,8초,오현택,A,7 장운호,B,2-1,1루수 뜬공(파울),"2사 1,2루 12:8"
2014-05-27,NC,8말,고창성,A,5 장운호,B,2-1,투수 땅볼,무사 1루 18:2
2014-05-27,NC,9말,임창민,A,5 장운호,B,1-1,우익수 앞 안타,무사  18:7
2014-05-28,NC,8말,손정욱,A,4 장운호,B,2-1,좌익수 뜬공,2사  15:1
2014-05-29,NC,8말,손민한,A,6 장운호,B,0-1,투수 병살타,"1사 1,3루 14:7"
2014-05-30,SK,9말,고효준,A,8 장운호,B,1-2,장운호/1122 : 3루수 직선타 아웃,2사  6:1
2014-06-08,삼성,8말,차우찬,A,8 장운호,B,2-3,장운호/1122 : 삼진 아웃,1사  7:2
2014-08-28,넥센,8말,송신영,A,3 장운호,B,1-1,중견수 뜬공,1사 1루 10:3
2014-08-29,넥센,10말,송신영,A,5 장운호,B,0-1,투수 희생번트,무사 1루 9:9
2014-09-05,삼성,8초,밴덴헐크,A,7 장운호,B,2-2,우익수 뜬공,무사 1루 0:8
2014-09-06,LG,2말,리오단,A,9 장운호,B,0-1,우익수 뜬공,무사  0:2
2014-09-06,LG,4말,리오단,A,9 장운호,B,1-1,1루수 희생번트,무사 1루 2:2
2014-09-07,LG,8말,신재웅,A,3 장운호,B,2-2,우중간 안타,무사  3:3
2014-09-09,넥센,2초,밴헤켄,A,7 장운호,B,2-1,중견수 뜬공,2사  1:1
2014-09-09,넥센,4초,밴헤켄,A,7 장운호,B,2-3,중견수 뜬공,1사  4:4
2014-09-09,넥센,7초,조상우,A,7 장운호,B,1-0,투수 땅볼,무사  4:9
2014-09-09,넥센,9초,김세현,A,7 장운호,B,2-1,좌익수 왼쪽 안타,"1사 1,3루 4:13"
2014-09-10,넥센,2초,소사,A,6 장운호,B,2-0,유격수 뜬공,1사  0:0
2014-09-10,넥센,5초,소사,A,6 장운호,B,2-3,장운호/1122 : 삼진 아웃,1사  0:3
2014-09-10,넥센,8초,소사,A,6 장운호,B,0-0,유격수 왼쪽 내야안타,1사  0:4
2014-09-11,두산,2초,니퍼트,A,7 장운호,B,0-1,3루수 앞 번트안타,1사 1루 0:1
2014-09-11,두산,3초,니퍼트,A,7 장운호,B,2-2,유격수 땅볼,"2사 1,2루 3:1"
2014-09-11,두산,5초,니퍼트,A,7 장운호,B,2-0,장운호/1122 : 삼진 아웃,1사  6:5
2014-09-11,두산,7초,윤명준,A,7 장운호,B,2-3,3루수 땅볼,2사  6:8
2014-09-12,두산,2초,유희관,A,7 장운호,B,0-0,우익수 뜬공,"1사 1,3루 0:1"
2014-09-12,두산,5초,유희관,A,7 장운호,B,0-0,2루수 뜬공,무사  0:6
2014-09-13,KIA,3말,토마스,A,9 장운호,B,2-2,우익수 뜬공,1사  0:0
2014-09-13,KIA,5말,토마스,A,9 장운호,B,2-1,장운호/1122 : 삼진 아웃,2사  0:1
2014-10-01,SK,2말,밴와트,A,7 장운호,B,2-3,장운호/1122 : 삼진 아웃,무사 1루 0:0
2014-10-02,롯데,2초,장원준,A,7 장운호,B,2-1,장운호/1122 : 삼진 아웃,2사 3루 0:0
2014-10-02,롯데,4초,장원준,A,7 장운호,B,1-3,좌익수 앞 안타,2사 1루 1:3
2014-10-03,롯데,2초,유먼,A,7 장운호,B,2-3,중견수 앞 안타,1사  0:0
2014-10-03,롯데,4초,유먼,A,7 장운호,B,1-0,중견수 뒤 홈런,2사  0:8
2014-10-03,롯데,7초,심수창,A,7 장운호,B,1-3,유격수 뜬공,1사  1:14
2014-10-03,롯데,9초,심수창,A,7 장운호,B,0-1,좌익수 뜬공,1사 2루 2:15
2014-10-05,SK,2초,김광현,A,7 장운호,B,0-1,좌익수 앞 안타,"무사 2,3루 0:2"
2014-10-05,SK,4초,김광현,A,7 장운호,B,0-0,투수 희생번트,무사 1루 2:2
2014-10-05,SK,6초,김광현,A,7 장운호,B,1-2,중견수 뜬공,무사 1루 2:6
2014-10-05,SK,8초,이재영,A,7 장운호,B,2-1,장운호/1122 : 삼진 아웃,1사 1루 3:6
2014-10-06,SK,3초,여건욱,A,7 장운호,B,2-2,3루수 뜬공,무사  0:5
2014-10-06,SK,6초,여건욱,A,7 장운호,B,2-2,중견수 뜬공,무사  0:5
2014-10-06,SK,8초,여건욱,A,7 장운호,B,2-2,장운호/1122 : 삼진 아웃,2사  0:10
2014-10-07,롯데,2말,옥스프링,A,7 장운호,B,2-1,유격수 땅볼,"1사 1,3루 1:0"
2014-10-07,롯데,4말,옥스프링,A,7 장운호,B,0-0,투수 번트 뜬공,2사  1:3
2014-10-09,두산,2말,이재우,A,7 장운호,B,2-1,2루수 땅볼,2사  1:0
2014-10-09,두산,5말,이재우,A,7 장운호,B,0-1,유격수 땅볼,1사  1:0
2014-10-10,두산,2말,이현승,A,7 장운호,B,2-3,우익수 앞 안타,무사 만루 4:0
2014-10-10,두산,4말,오현택,A,7 장운호,B,0-3,볼넷,무사  5:2
2014-10-10,두산,6말,임태훈,A,7 장운호,B,2-3,장운호/1122 : 삼진 아웃,무사  5:3
2014-10-10,두산,7말,윤명준,A,7 장운호,B,1-0,중견수 앞 안타,2사 1루 6:3
2014-10-10,두산,9말,이용찬,A,7 장운호,B,2-1,유격수 땅볼,"2사 2,3루 7:3"
2014-10-11,롯데,2초,송승준,A,7 장운호,B,0-0,좌중간 안타,1사  1:0
2014-10-11,롯데,4초,송승준,A,7 장운호,B,0-1,2루수 뜬공,1사  1:0
2014-10-11,롯데,6초,송승준,A,7 장운호,B,1-2,유격수 땅볼,1사  3:0
2014-10-12,롯데,3초,옥스프링,A,7 장운호,B,2-1,좌익수 앞 안타,무사  0:0
2014-10-12,롯데,5초,옥스프링,A,7 장운호,B,0-0,중견수 앞 안타,2사 2루 0:1
2014-10-12,롯데,7초,옥스프링,A,7 장운호,B,0-1,2루수 땅볼,2사  2:4
2014-10-13,삼성,2말,장원삼,A,7 장운호,B,2-3,우익수 뜬공,2사 1루 4:0
2014-10-13,삼성,4말,장원삼,A,7 장운호,B,1-1,중견수 뜬공,"2사 2,3루 12:0"
2014-10-13,삼성,7말,서동환,A,7 장운호,B,0-1,몸에 맞는 볼,무사  22:1
