이름,타율,출루,장타,ops,wOBA,wRC+
김형준,0.160,0.236,0.173,0.409,0.204,5.5
정범모,0.21430555555555555,0.2876944444444444,0.3209722222222222,0.6088888888888888,0.2745833333333333,51.63611111111111
박민우,0.3289047619047619,0.40495238095238095,0.4287142857142857,0.8334761904761904,0.3782380952380952,120.74285714285716
손시헌,0.2698857142857143,0.34591428571428573,0.3740190476190476,0.7201238095238095,0.3273523809523809,88.60761904761905
모창민,0.28145454545454546,0.3323818181818181,0.44899999999999995,0.781490909090909,0.3422545454545455,96.51636363636365
스크럭스,0.27133333333333337,0.3626666666666667,0.5203333333333333,0.883,0.3776666666666667,119.00000000000001
김태진,0.4033333333333333,0.44133333333333336,0.4680000000000001,0.9086666666666667,0.4093333333333334,139.8
노진혁,0.22633333333333333,0.2568666666666667,0.35586666666666666,0.6124666666666667,0.26913333333333334,47.74
최준석,0.2697134502923977,0.36281286549707603,0.4317192982456141,0.7946725146198831,0.36054385964912283,111.65380116959065
이우성,0.25516666666666665,0.3238333333333333,0.3723333333333333,0.6961666666666666,0.31333333333333335,77.7
권희동,0.27573333333333333,0.35573333333333335,0.4136000000000001,0.7692666666666665,0.34393333333333337,96.26
이종욱,0.28296703296703296,0.3441978021978022,0.3755934065934066,0.719956043956044,0.32941758241758246,89.76153846153846
나성범,0.3218095238095238,0.3881428571428571,0.5373809523809524,0.9258571428571429,0.4017142857142857,134.83809523809524
