이름,타율,출루,장타,ops,wOBA,wRC+
유강남,0.2706,0.32553333333333334,0.43513333333333337,0.7609333333333335,0.33066666666666666,92.72
정상호,0.24381666666666668,0.3134583333333333,0.3796833333333333,0.6934083333333333,0.31055,78.00250000000001
윤진호,0.2012857142857143,0.23010714285714287,0.2245357142857143,0.45492857142857146,0.20410714285714288,4.2214285714285715
박지규,0.1816666666666667,0.2306666666666667,0.27233333333333337,0.5023333333333333,0.22066666666666668,16.8
오지환,0.26347272727272725,0.3518181818181818,0.4095090909090908,0.7613272727272727,0.34216363636363634,98.94545454545454
장시윤,0.22533333333333339,0.37800000000000006,0.22533333333333339,0.6033333333333334,0.31366666666666665,71.56666666666668
서상우,0.2813333333333333,0.3913333333333334,0.43766666666666676,0.8296666666666668,0.3806666666666667,121.93333333333334
양석환,0.26530000000000004,0.3077,0.4355,0.7436,0.3219000000000001,86.09
홍창기,0.167,0.400,0.278,0.678,0.339,96.1
김용의,0.25511111111111107,0.3344888888888889,0.3066222222222222,0.6412222222222224,0.2992666666666667,67.05333333333334
안익훈,0.27130000000000004,0.335,0.31010000000000004,0.6451,0.2983,65.13
임훈,0.2626666666666667,0.3208939393939394,0.31786363636363635,0.6388939393939393,0.295030303030303,65.57272727272728
이천웅,0.27526666666666666,0.34653333333333336,0.3662666666666667,0.7128,0.32366666666666666,84.19333333333334
박용택,0.31773856209150325,0.3810588235294117,0.46020261437908505,0.8413006535947714,0.3794248366013072,126.33921568627451
이형종,0.29333333333333333,0.3665,0.42366666666666664,0.7901666666666667,0.3521666666666667,104.19999999999999
채은성,0.2958,0.35353333333333337,0.441,0.7948000000000002,0.3500666666666667,102.6
정주현,0.21342857142857144,0.29496428571428573,0.28635714285714287,0.5812142857142857,0.27275,52.025
