이름,타율,출루,장타,ops,wOBA,wRC+
김회성,0.143,0.259,0.327,0.585,0.271,56.9
김회성,0.236,0.321,0.436,0.757,0.329,76.8
김회성,0.209,0.321,0.484,0.805,0.345,93.5
김회성,0.200,0.345,0.267,0.612,0.305,63.5
김회성,0.235,0.343,0.388,0.731,0.328,85.1
김회성,0.259,0.364,0.459,0.823,0.351,98.8
김회성,0.211,0.318,0.410,0.728,0.322,79.0
양성우,0.195,0.320,0.230,0.550,0.281,70.4
양성우,0.000,0.000,0.000,0.000,0.000,-131.4
양성우,0.271,0.347,0.354,0.701,0.324,76.1
양성우,0.277,0.363,0.372,0.735,0.335,91.4
양성우,0.254,0.335,0.325,0.660,0.304,69.8
양성우,0.263,0.347,0.343,0.691,0.320,83.2
최진행,0.206,0.294,0.383,0.677,0.309,79.6
최진행,0.200,0.308,0.364,0.671,0.307,71.5
최진행,0.261,0.339,0.515,0.854,0.375,121.9
최진행,0.277,0.380,0.438,0.817,0.378,128.5
최진행,0.248,0.361,0.443,0.804,0.373,133.3
최진행,0.300,0.387,0.439,0.826,0.386,129.7
최진행,0.261,0.317,0.435,0.752,0.333,79.3
최진행,0.291,0.410,0.505,0.914,0.397,128.2
최진행,0.329,0.434,0.400,0.834,0.389,118.2
최진행,0.306,0.375,0.539,0.914,0.395,130.2
최진행,0.213,0.305,0.390,0.695,0.307,69.2
최진행,0.267,0.360,0.457,0.817,0.368,112.9
박준혁,0.000,0.000,0.000,0.000,0.000,
박준혁,0.375,0.444,0.625,1.069,0.471,173.3
박준혁,0.100,0.100,0.100,0.200,0.093,-70.3
박준혁,0.200,0.200,0.400,0.600,0.248,32.9
박준혁,0.200,0.231,0.320,0.551,0.246,29.0
강상원,0.214,0.214,0.286,0.500,0.222,16.8
강상원,0.000,0.143,0.000,0.143,0.104,-63.9
강상원,0.150,0.191,0.200,0.391,0.182,-10.1
김민하,0.266,0.289,0.415,0.704,0.308,67.5
김민하,0.241,0.362,0.319,0.681,0.322,84.2
김민하,0.200,0.234,0.289,0.523,0.231,17.3
김민하,0.216,0.274,0.351,0.624,0.271,46.9
김민하,0.234,0.303,0.347,0.650,0.293,62.3
장민석,0.200,0.231,0.240,0.471,0.213,7.9
장민석,0.283,0.343,0.372,0.715,0.325,88.7
장민석,0.242,0.290,0.313,0.603,0.274,58.0
장민석,0.246,0.315,0.350,0.665,0.306,87.5
장민석,0.242,0.307,0.314,0.620,0.291,65.7
장민석,0.200,0.243,0.286,0.529,0.241,24.3
장민석,0.189,0.290,0.226,0.517,0.253,36.4
장민석,0.229,0.285,0.307,0.592,0.271,41.8
장민석,0.278,0.311,0.318,0.629,0.281,55.7
장민석,0.251,0.308,0.328,0.637,0.292,63.5
장진혁,0.214,0.313,0.357,0.670,0.304,69.2
장진혁,0.214,0.313,0.357,0.670,0.304,69.2
이용규,0.129,0.203,0.145,0.348,0.176,-14.0
이용규,0.266,0.340,0.353,0.692,0.317,89.0
이용규,0.318,0.391,0.412,0.803,0.372,137.2
이용규,0.280,0.344,0.355,0.699,0.328,98.7
이용규,0.312,0.385,0.398,0.784,0.367,122.1
이용규,0.266,0.364,0.349,0.713,0.326,83.3
이용규,0.307,0.398,0.371,0.769,0.361,112.8
이용규,0.333,0.427,0.401,0.829,0.391,137.9
이용규,0.283,0.377,0.332,0.709,0.340,111.3
이용규,0.295,0.375,0.367,0.741,0.349,104.7
이용규,0.288,0.385,0.344,0.728,0.349,88.2
이용규,0.341,0.427,0.424,0.851,0.386,119.6
이용규,0.352,0.438,0.434,0.872,0.404,128.1
이용규,0.263,0.332,0.318,0.650,0.304,70.8
이용규,0.293,0.379,0.332,0.711,0.331,88.6
이용규,0.302,0.385,0.372,0.758,0.354,105.6
호잉,0.306,0.370,0.573,0.942,0.391,124.8
호잉,0.306,0.370,0.573,0.942,0.391,124.8
