이름,타율,출루,장타,ops,wOBA,wRC+
강민호,0.27843809523809526,0.36601904761904763,0.4825619047619048,0.8487619047619048,0.3760095238095238,119.33809523809524
권정웅,0.4746666666666667,0.5186666666666667,0.616,1.1346666666666667,0.5106666666666666,202.3
이지영,0.288,0.33163888888888887,0.3505,0.6823055555555555,0.30666666666666664,71.75833333333333
이원석,0.27691208791208793,0.33924175824175823,0.459934065934066,0.7992747252747253,0.3496263736263736,105.2010989010989
최영진,0.21266666666666667,0.24120000000000003,0.35933333333333334,0.6006,0.25420000000000004,36.13333333333334
최원제,0.256,0.3306666666666667,0.3116666666666667,0.6416666666666667,0.3043333333333334,72.93333333333334
러프,0.325,0.4113333333333334,0.593,1.0043333333333333,0.42600000000000005,149.4666666666667
손주인,0.26669090909090903,0.32461818181818175,0.3453454545454545,0.67,0.29972727272727273,68.79454545454544
강한울,0.26646666666666663,0.3080666666666667,0.3160666666666667,0.6239333333333333,0.28353333333333336,55.72666666666667
배영섭,0.28741666666666665,0.3708888888888889,0.3585277777777777,0.7293055555555555,0.3404444444444444,96.46666666666668
박한이,0.29303508771929826,0.37860818713450295,0.4178713450292398,0.7966023391812866,0.3578479532163742,109.4812865497076
김헌곤,0.24273333333333333,0.3054,0.35686666666666667,0.6620666666666668,0.29633333333333334,65.50666666666667
박해민,0.2942666666666667,0.3552,0.4036,0.7591333333333334,0.3360666666666667,90.20666666666668
박찬도,0.2708333333333333,0.3401666666666666,0.3268333333333333,0.667,0.3088333333333333,73.35
구자욱,0.3297,0.3974,0.5341,0.9319000000000001,0.405,135.28
