한화이글스_타자
최재훈
지성준
김창혁
김태균
송광민
이성열
백창수
정근우
오선진
정은원
강경학
하주석
오선진
정경운
김회성
양성우
최진행
이동훈
박준혁
강상원
김민하
장민석
장진혁
원혁재
이용규
호잉
